Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 77,Item.1,المبيعات,الوارد,القفل,الفعلي,(+-)
Hot Chocolate (12oz),32.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,8000,,,,,,40,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,40,,80,,,,,,,White Sauce,135.0,1694.0,,1694.0,-1559.0
Hot Chocolate (16oz),8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,2250,,,,,,,,9,,,,,,,,315,,,,,,,,,,,,,,,,,,,9,,18,,,,,,,Chocolate Sauce,3180.0,5655.0,,5655.0,-2475.0
Chai Latte ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,Caramel Sauce,1860.0,4586.0,,4586.0,-2726.0
Chai Latte Ampio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,Raspberry Sauce,180.0,1000.0,,1000.0,-820.0
tae,18.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,21,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,42,,,,,,,Peach Sauce,0.0,1000.0,,1000.0,-1000.0
flavored tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Mango Sauce,60.0,1000.0,,1000.0,-940.0
cup icd,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,Strawberry Sauce,0.0,1000.0,,1000.0,-1000.0
Add honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Passion Sauce,390.0,1323.0,,1323.0,-933.0
Original Freddoccino (13oz),6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,42,600,,,,,,,,,,6,,,,,150,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,Oreo,46.0,262.0,,262.0,-216.0
French Vanilla Freddoccino(13oz),10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,70,800,,,,,,,,,,10,400,,,,250,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,Snickers,12.0,19.0,,19.0,-7.0
Roasted Hazelnut Freddoccino(13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Pineapple juice,0.0,0.0,,0.0,0.0
 Ultimate Caramel Freddoccino(13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Orange juice,16.0,26.0,,26.0,-10.0
spanish ice,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,140,1200,300,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,Mango juice,17.0,35.0,,35.0,-18.0
Original Ice Mixt(13oz),,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7,90,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,Strawberry juice,4.0,12.0,,12.0,-8.0
Flavored Ice Mixt,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,49,630,,,,,,,,,,7,210,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,Guava juice,3.0,15.0,,15.0,-12.0
Caramel Frappe(13oz),46.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,5760,,,,,,,,,,48,,,,,1200,,,,,,1440,,,,,,,,,,,,,48,,,,,,,,,,Straw,519.0,926.0,,926.0,-407.0
Chocolate Frappe(13oz),25.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,3240,,,,,,,,,,27,,,,,675,,,,,810,,,,,,,,,,,,,,27,,,,,,,,,,spoons,456.0,1720.0,,1720.0,-1264.0
Oreo Frappe(13oz),41.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,5980,,,,,,,,,,46,,,,,1150,,,,,690,,,,,,,46,,,,,,,46,,,,,,,,,,whipped cream ,13.0,2000.0,,2000.0,-1987.0
Snickers Frappe(13oz),9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1440,,,,,,,,,,12,,,,,300,,,,,,,,,,,,,12,,,,,,12,,,,,,,,,,sugar,914.0,3650.0,,3650.0,-2736.0
American Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,honey,0.0,0.0,,0.0,0.0
Mojito Classic,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2,80,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Vanilla Cox,3.0,0.0,,0.0,3.0
