Item,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 46,Unnamed: 47,Unnamed: 48,Item.1,المبيعات
Italian Cappuccino (8oz),71.0,497.0,9940.0,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,142.0,,,,,,,,,caffee Laroma,4802.0
Espresso (4oz),41.0,287.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,82.0,,,,,,,,,milk,92.49
turky single,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Condensed milk,1580.0
turky double,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Turkish coffee,0.0
Cortado,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,tea,18.0
Macchiato Caldo (8oz),5.0,35.0,250.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,10.0,,,,,,,,,F Tea,0.0
Café Americano (8oz),18.0,126.0,1260.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,36.0,,,,,,,,,8 cups,131.0
Café No Lait (12oz),0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Lid 8,131.0
spanish latte,31.0,434.0,3410.0,930.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,62.0,,,,,,,,,cups 12,194.0
Flat White,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,, cup tea,18.0
flavored imp,17.0,,,,,,,,,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 cups,41.0
whipped cream ,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,Lid 16,253.0
add shot,25.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cup 4,41.0
l'aroma Beans,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice cup,478.0
macchiato milk ,32.0,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lid ice,478.0
add milk albro,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,flavor syrup ,11980.0
Forte (12oz),125.0,1750.0,28750.0,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,250.0,,,,,,,,,Cola,0.0
Americano Fort (12oz),29.0,406.0,2610.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,58.0,,,,,,,,,soda,3.0
 Ampio(16oz),27.0,567.0,6480.0,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,54.0,,,,,,,,,Water,193.0
 Ampio Americano(16oz),3.0,42.0,300.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,,,,,,,,Vanilla powder,5275.0
forte Spanish 12,7.0,98.0,1400.0,245.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,14.0,,,,,,,,,chocolate powder ,1555.0
Ampio spanish 16,3.0,63.0,900.0,135.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,,,,,,,,Matcha,490.0
Hot Chocolate (8oz),3.0,,420.0,,,,,3.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,3.0,,6.0,,,,,,,,,Cramer,0.0
Hot Chocolate (12oz),32.0,,6400.0,,,,,,32.0,,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,32.0,,64.0,,,,,,,,,White Sauce,135.0
Hot Chocolate (16oz),8.0,,2000.0,,,,,,,,8.0,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,8.0,,16.0,,,,,,,,,Chocolate Sauce,2865.0
Chai Latte ,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Caramel Sauce,1800.0
Chai Latte Ampio ,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Raspberry Sauce,180.0
tae,18.0,,,,,18.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,36.0,,,,,,,,,Peach Sauce,0.0
flavored tea,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Mango Sauce,60.0
cup icd,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Strawberry Sauce,0.0
Add honey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Passion Sauce,390.0
Original Freddoccino (13oz),6.0,42.0,600.0,,,,,,,,,,6.0,,,,,150.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,Oreo,41.0
French Vanilla Freddoccino(13oz),10.0,70.0,800.0,,,,,,,,,,10.0,400.0,,,,250.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,Snickers,9.0
Roasted Hazelnut Freddoccino(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Pineapple juice,0.0
 Ultimate Caramel Freddoccino(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Orange juice,16.0
spanish ice,9.0,126.0,1080.0,270.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,Mango juice,17.0
Original Ice Mixt(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,Strawberry juice,4.0
Flavored Ice Mixt,7.0,49.0,630.0,,,,,,,,,,7.0,210.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,Guava juice,3.0
Caramel Frappe(13oz),46.0,,5520.0,,,,,,,,,,46.0,,,,,1150.0,,,,,,1380.0,,,,,,,,,,,,,46.0,,,,,,,,,,,,Straw,478.0
Chocolate Frappe(13oz),25.0,,3000.0,,,,,,,,,,25.0,,,,,625.0,,,,,750.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,spoons,425.0
Oreo Frappe(13oz),41.0,,5330.0,,,,,,,,,,41.0,,,,,1025.0,,,,,615.0,,,,,,,41.0,,,,,,,41.0,,,,,,,,,,,,whipped cream ,12.0
Snickers Frappe(13oz),9.0,,1080.0,,,,,,,,,,9.0,,,,,225.0,,,,,,,,,,,,,9.0,,,,,,9.0,,,,,,,,,,,,sugar,850.0
