Item,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 46,Unnamed: 47,Unnamed: 48,Item.1,المبيعات
Italian Cappuccino (8oz),1.0,7.0,140.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,caffee Laroma,126.0
Espresso (4oz),0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,milk,3.02
turky single,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Condensed milk,60.0
turky double,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Turkish coffee,0.0
Cortado,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,tea,1.0
Macchiato Caldo (8oz),0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,F Tea,0.0
Café Americano (8oz),0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,8 cups,2.0
Café No Lait (12oz),0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Lid 8,2.0
spanish latte,1.0,14.0,110.0,30.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,cups 12,5.0
Flat White,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,, cup tea,1.0
flavored imp,2.0,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 cups,3.0
whipped cream ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Lid 16,9.0
add shot,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cup 4,0.0
l'aroma Beans,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice cup,23.0
macchiato milk ,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lid ice,23.0
add milk albro,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,flavor syrup ,600.0
Forte (12oz),1.0,14.0,230.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,Cola,0.0
Americano Fort (12oz),0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,soda,0.0
 Ampio(16oz),3.0,63.0,720.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,,,,,,,,Water,12.0
 Ampio Americano(16oz),0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Vanilla powder,175.0
forte Spanish 12,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,chocolate powder ,135.0
Ampio spanish 16,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Matcha,0.0
Hot Chocolate (8oz),0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Cramer,0.0
Hot Chocolate (12oz),4.0,,800.0,,,,,,4.0,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,4.0,,8.0,,,,,,,,,White Sauce,0.0
Hot Chocolate (16oz),0.0,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Chocolate Sauce,105.0
Chai Latte ,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Caramel Sauce,30.0
Chai Latte Ampio ,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Raspberry Sauce,0.0
tae,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,Peach Sauce,0.0
flavored tea,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Mango Sauce,0.0
cup icd,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,Strawberry Sauce,0.0
Add honey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Passion Sauce,0.0
Original Freddoccino (13oz),0.0,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Oreo,1.0
French Vanilla Freddoccino(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Snickers,2.0
Roasted Hazelnut Freddoccino(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Pineapple juice,0.0
 Ultimate Caramel Freddoccino(13oz),0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Orange juice,0.0
spanish ice,1.0,14.0,120.0,30.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Mango juice,0.0
